id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49067284,"Sunny,Single,in Speedwell(BS5) 25 mins walk-Centre",93719894,Laureny,,Central,51.45341,-2.5883,Private room,32,2,5,2021-07-12,2.05,1,250
49068612,Student Only Property: Cosy Classic Ensuite,226804666,,,Ashley,51.46287,-2.58434,Private room,39,1,0,,,50,358
49068621,Student Only Property: Wonderful Standard Ensuite,226804666,,,Ashley,51.46158,-2.58548,Private room,38,1,0,,,50,358
49068631,Student Only Property: Elegant Premium Ensuite,226804666,,,Ashley,51.46208,-2.58469,Private room,39,1,0,,,50,358
49124285,"Huge -  City Centre, FREE PARKING - Sleeps 8+ (F6)",396199459,Donny Thomas,,Ashley,51.46156,-2.58528,Entire home/apt,173,2,4,2021-07-05,3.64,8,293
49135997,House for rent very clean and comfy .,273716644,Annia Gamb,,St George Central,51.46129,-2.52061,Entire home/apt,77,2,4,2021-06-13,2.31,1,283
49163707,Central apartment+ On Site Parking+ Private access,99998716,Lisa,,Ashley,51.460442,-2.585876,Entire home/apt,168,2,7,2021-07-10,2.80,1,157
49165824,Beautiful Two Bed House in the heart of Bristol,179598991,Freya,,Bishopston & Ashley Down,51.48248,-2.58928,Entire home/apt,160,1,7,2021-07-11,2.47,1,45
49167663,"Plush Penthouse, City Centre inc Parking sleep 10+",396199459,Donny Thomas,,Ashley,51.46156,-2.58528,Entire home/apt,252,2,0,,,8,298
49172299,The Theatre Apartment - Bristol Harbourside Views,65463336,Michael,,Hotwells & Harbourside,51.4518,-2.59782,Entire home/apt,127,2,18,2021-07-01,6.00,2,140
49189611,"- Sleeps 16, Parking Free - City Centre Flat 6+7",396199459,Donny Thomas,,Ashley,51.461563,-2.585281,Entire home/apt,427,2,0,,,8,293
49194088,Lily Caravan Towed Town Camping,144059401,Emma,,Lawrence Hill,51.44972,-2.57431,Entire home/apt,60,1,12,2021-06-28,4.29,8,247
49203568,"Huge - City Centre, FREE PARKING - Sleeps 8+ (F5)",396199459,Donny Thomas,,Ashley,51.46156,-2.58528,Entire home/apt,185,2,0,,,8,308
49205711,SLEEPS 16 in City Centre FREE PARKING - Flat 5+6,396199459,Donny Thomas,,Ashley,51.46156,-2.58528,Entire home/apt,338,2,0,,,8,280
49205987,"Lovely Clifton Village Mews House,  with patio",19404394,Robert,,Clifton,51.45513,-2.62073,Entire home/apt,268,2,2,2021-07-12,2,2,144
49218611,"2/41 Large room in a shared flat,centre of Bristol",275250241,Renan,,Clifton Down,51.45797,-2.61136,Private room,40,1,11,2021-07-01,3.63,8,343
49222232,Quirky Garden Retreat - newly rennovated space,309150407,Ann,,Eastville,51.479134,-2.545242,Entire home/apt,67,1,11,2021-07-07,5.50,1,330
49252980,The Yellow House in Vibrant Montpelier,397337809,Jenna,,Ashley,51.46699,-2.58617,Entire home/apt,159,1,12,2021-07-11,4.80,1,1
49287345,King Size Room 10 minutes from the city centre,151780642,Adam,,Hengrove & Whitchurch Park,51.42417,-2.57291,Private room,34,2,9,2021-07-11,3.21,1,324
49302679,Bright & Beautiful Studio flat in Bristol!,397813485,Fiona,,Redland,51.4775,-2.60752,Entire home/apt,88,2,11,2021-06-28,4.40,1,133
49316901,Great  located Victorian house with all amenities,32862540,Patrycja,,Avonmouth & Lawrence Weston,51.48831,-2.67678,Entire home/apt,275,2,2,2021-06-02,1.76,9,145
49320087,"Room with kitchen,toilet",395383929,Shagufta,,Lockleaze,51.48363,-2.57925,Entire home/apt,31,1,2,2021-05-23,0.71,1,338
49340148,Fantastic Apartment in Stoke Bishop nr Clifton,90684209,Neil,,Stoke Bishop,51.4804,-2.63488,Entire home/apt,165,2,11,2021-07-11,4.02,9,326
49362675,Comfortable home from home in excellent location,20658578,Kate,,Bedminster,51.43974,-2.60857,Entire home/apt,124,2,12,2021-05-09,4.80,1,116
49394729,Cozy double room on quiet street near city centre,20477079,Elizabeth,,Central,51.46391,-2.59067,Private room,35,1,3,2021-06-03,1.43,1,13
49415940,Ctral Bristol amazing Dutch barge 4  enjoyment,67600009,Spencer,,Hotwells & Harbourside,51.44759,-2.61696,Shared room,42,1,27,2021-07-16,10.66,1,260
49419870,Cosy Flat in Central Bristol,150457015,Dominique,,Central,51.45544,-2.59757,Entire home/apt,55,3,7,2021-07-05,3.04,1,4
